iter	Passed	Remaining
0	210	210349
1	255	127508
2	291	96779
3	329	81990
4	370	73670
5	412	68387
6	451	64001
7	487	60463
8	525	57891
9	563	55828
10	600	54003
11	636	52385
12	673	51132
13	707	49826
14	742	48754
15	780	48017
16	819	47396
17	861	47012
18	903	46645
19	939	46011
20	975	45469
21	1014	45081
22	1050	44625
23	1084	44107
24	1123	43828
25	1162	43566
26	1208	43544
27	1248	43344
28	1285	43032
29	1328	42945
30	1373	42920
31	1414	42783
32	1454	42622
33	1500	42627
34	1542	42524
35	1577	42253
36	1622	42225
37	1657	41969
38	1693	41739
39	1730	41528
40	1765	41305
41	1806	41196
42	1849	41171
43	1887	41007
44	1924	40832
45	1961	40670
46	1997	40506
47	2033	40322
48	2070	40190
49	2106	40032
50	2145	39915
51	2180	39756
52	2216	39605
53	2253	39476
54	2296	39453
55	2338	39415
56	2374	39280
57	2412	39174
58	2446	39026
59	2485	38936
60	2522	38828
61	2559	38722
62	2595	38601
63	2633	38512
64	2672	38448
65	2715	38423
66	2752	38335
67	2794	38302
68	2837	38281
69	2873	38177
70	2908	38057
71	2945	37959
72	2983	37882
73	3018	37770
74	3053	37661
75	3092	37598
76	3129	37516
77	3169	37459
78	3280	38243
79	3362	38664
80	3406	38648
81	3449	38622
82	3492	38586
83	3534	38545
84	3577	38507
85	3616	38440
86	3654	38351
87	3692	38269
88	3728	38166
89	3769	38115
90	3811	38070
91	3849	37988
92	3885	37891
93	3929	37872
94	4023	38330
95	4079	38418
96	4117	38330
97	4152	38216
98	4186	38105
99	4228	38059
100	4273	38037
101	4323	38066
102	4367	38032
103	4407	37973
104	4448	37919
105	4486	37838
106	4520	37727
107	4555	37627
108	4591	37535
109	4628	37446
110	4663	37350
111	4698	37250
112	4737	37184
113	4778	37141
114	4822	37116
115	4859	37031
116	4893	36928
117	4931	36857
118	4968	36785
119	5003	36694
120	5040	36614
121	5073	36509
122	5113	36456
123	5150	36386
124	5187	36310
125	5225	36248
126	5267	36211
127	5305	36142
128	5341	36068
129	5380	36006
130	5414	35917
131	5451	35845
132	5486	35767
133	5522	35691
134	5558	35613
135	5594	35540
136	5629	35461
137	5665	35388
138	5704	35337
139	5744	35288
140	5784	35242
141	5821	35174
142	5856	35096
143	5892	35027
144	5931	34977
145	5966	34902
146	6000	34820
147	6036	34750
148	6072	34684
149	6110	34627
150	6148	34569
151	6186	34516
152	6226	34467
153	6268	34434
154	6305	34373
155	6341	34309
156	6378	34246
157	6413	34178
158	6449	34113
159	6485	34049
160	6523	33993
161	6558	33924
162	6592	33850
163	6626	33778
164	6664	33726
165	6721	33769
166	6765	33744
167	6800	33678
168	6837	33619
169	6873	33557
170	6909	33497
171	6951	33462
172	6994	33435
173	7028	33366
174	7065	33306
175	7101	33249
176	7137	33185
177	7174	33132
178	7215	33093
179	7261	33078
180	7297	33022
181	7332	32954
182	7366	32886
183	7406	32845
184	7441	32783
185	7477	32722
186	7513	32666
187	7548	32602
188	7584	32546
189	7622	32495
190	7658	32440
191	7697	32393
192	7740	32366
193	7781	32328
194	7817	32273
195	7853	32216
196	7888	32155
197	7923	32096
198	7961	32047
199	8000	32002
200	8035	31940
201	8077	31908
202	8121	31884
203	8164	31858
