u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,lanes,geometry,junction,bridge,ref,access,width,tunnel,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
302473861,13851397434,0,562645426,secondary,40,Queensway,False,True,83.449534733306,,"LINESTRING (9834839.522584062 2577194.0966072367, 9834750.155296853 2577208.0903063407)",,,,,,,2,4,6.39,204,300.0,65.0,3,53,50,33.0,509.297208399836
302473861,6084085602,0,1229465928,secondary,40,Shakespeare Sarani,False,True,10.66780914454647,3,"LINESTRING (9834839.522584062 2577194.0966072367, 9834850.955095766 2577192.360955455)",,,,,,,2,2,6.39,204,300.0,65.0,3,53,78,32.0,114.45069359295496
302473861,6084085598,0,1252338120,primary,40,Jawaharlal Nehru Road,False,False,16.237423285243764,2,"LINESTRING (9834839.522584062 2577194.0966072367, 9834847.815886125 2577209.6210562247)",,,,,,,3,2,6.39,204,300.0,65.0,3,53,29,32.0,76.1062330326483
302473861,1274591032,0,"[1252338120, 238477576]",primary,40,Jawaharlal Nehru Road,False,True,466.6890989760554,2,"LINESTRING (9834839.522584062 2577194.0966072367, 9834836.87318018 2577172.5697166966, 9834828.780253202 2577106.711586257, 9834817.55924853 2577020.6046435647, 9834810.089710696 2576969.8976981128, 9834775.680856092 2576745.569229472, 9834771.59543078 2576718.9686923637, 9834767.788304195 2576693.3806308745)",,,,,,,12,4,6.39,204,300.0,65.0,3,53,10,34.0,618.6269187712664
13851397434,302473861,0,562645426,secondary,40,Queensway,False,False,83.449534733306,,"LINESTRING (9834750.155296853 2577208.0903063407, 9834839.522584062 2577194.0966072367)",,,,,,,2,4,6.39,204,300.0,65.0,3,53,68,27.0,689.548203423777
13851397434,422239699,0,562645426,secondary,40,Queensway,False,True,9.126681459033373,,"LINESTRING (9834750.155296853 2577208.0903063407, 9834740.38144556 2577209.6210562247)",,,,,,,1,4,6.39,204,300.0,65.0,3,53,49,26.0,57.26488697911623
13851397434,1274591347,0,1517331582,secondary,40,Cathedral Road,False,False,581.9381006012993,,"LINESTRING (9834750.155296853 2577208.0903063407, 9834732.455497816 2577185.936634811, 9834694.21725273 2577131.0106025673, 9834661.244419556 2577083.654070366, 9834593.96291932 2576985.602732679, 9834568.014346017 2576946.0689825006, 9834547.553823609 2576916.4307844564, 9834520.670166582 2576877.499844075, 9834504.061298555 2576853.442255872, 9834486.406027317 2576829.7945001693, 9834475.697092302 2576815.4274805, 9834455.904486839 2576786.9345352384, 9834428.30838507 2576750.6916758013, 9834422.87599392 2576741.157900485, 9834418.990943693 2576727.899814942, 9834418.53453378 2576713.9547309126, 9834420.315645633 2576701.6126783933, 9834421.05035427 2576696.5746166166, 9834423.900133235 2576681.7858651434)",,,,,,,4,6,6.39,204,300.0,65.0,3,53,18,29.0,1269.5862972988064
13851397434,13851397432,0,1517331582,secondary,40,Cathedral Road,False,True,10.266067426038383,,"LINESTRING (9834750.155296853 2577208.0903063407, 9834753.07186751 2577212.94772575, 9834752.248103278 2577218.34753857)",,,,,,,1,4,6.39,204,300.0,65.0,3,53,33,29.0,44.253627007112
6084085602,302473861,0,1229465928,secondary,40,Shakespeare Sarani,False,False,10.66780914454647,3,"LINESTRING (9834850.955095766 2577192.360955455, 9834839.522584062 2577194.0966072367)",,,,,,,2,2,6.39,204,300.0,65.0,3,53,47,33.0,74.76644357524208
6084085602,6084085598,0,1229465929,primary,40,Jawaharlal Nehru Road,False,False,16.18435502621755,,"LINESTRING (9834850.955095766 2577192.360955455, 9834847.815886125 2577209.6210562247)",,,,,,,2,2,6.39,204,300.0,65.0,3,53,72,27.0,154.43282742651962
6084085602,6084085603,0,"[647951899, 1252338117]",primary,40,Jawaharlal Nehru Road,False,True,465.66742518907296,2,"LINESTRING (9834850.955095766 2577192.360955455, 9834848.049657056 2577171.605466932, 9834838.542972542 2577103.6139463517, 9834831.30720564 2577054.5218547415, 9834826.14198127 2577019.41139539, 9834818.661311487 2576968.668294652, 9834800.9949083 2576839.3524320405, 9834791.766522512 2576771.844382641, 9834785.643950518 2576727.0079077487, 9834784.330380525 2576717.4018292483, 9834781.202302834 2576692.4525672076)",,,,,,,11,4,6.39,204,300.0,65.0,3,53,62,32.0,3518.1656434067027
6084085602,302478212,0,"[1476468169, 1471557450]",secondary,40,Shakespeare Sarani,False,True,117.97451100430871,3,"LINESTRING (9834850.955095766 2577192.360955455, 9834953.346763397 2577176.752150696, 9834961.89610029 2577175.860219438, 9834977.414037308 2577173.413435286)",,,,,,,4,2,6.39,204,300.0,65.0,3,53,24,28.0,364.3665916924091
6084085598,5426193529,0,647951896,primary,40,Jawaharlal Nehru Road,False,False,184.14002281059564,,"LINESTRING (9834847.815886125 2577209.6210562247, 9834880.176462099 2577406.582734182)",,,,,,,5,3,6.39,204,300.0,65.0,3,53,73,26.0,1639.6665998208175
6084085598,6084085602,0,1229465929,primary,40,Jawaharlal Nehru Road,False,True,16.18435502621755,,"LINESTRING (9834847.815886125 2577209.6210562247, 9834850.955095766 2577192.360955455)",,,,,,,2,2,6.39,204,300.0,65.0,3,53,47,33.0,105.87976234786697
6084085598,302473861,0,1252338120,primary,40,Jawaharlal Nehru Road,False,True,16.237423285243764,2,"LINESTRING (9834847.815886125 2577209.6210562247, 9834839.522584062 2577194.0966072367)",,,,,,,3,2,6.39,204,300.0,65.0,3,53,57,29.0,130.66397527106736
1274591032,6084085603,0,1127501761,primary,40,Acharya Jagadish Chandra Bose Road,True,False,12.404913616140306,2,"LINESTRING (9834767.788304195 2576693.3806308745, 9834781.202302834 2576692.4525672076)",,,,,,,2,1,6.39,204,300.0,65.0,3,53,48,30.0,89.05230242896815
1274591032,302473861,0,"[238477576, 1252338120]",primary,40,Jawaharlal Nehru Road,False,False,466.68909897605545,2,"LINESTRING (9834767.788304195 2576693.3806308745, 9834771.59543078 2576718.9686923637, 9834775.680856092 2576745.569229472, 9834810.089710696 2576969.8976981128, 9834817.55924853 2577020.6046435647, 9834828.780253202 2577106.711586257, 9834836.87318018 2577172.5697166966, 9834839.522584062 2577194.0966072367)",,,,,,,12,4,6.39,204,300.0,65.0,3,53,68,31.0,3866.783047644612
302473862,302478196,0,36165827,secondary,40,Shakespeare Sarani,False,True,105.22150482883544,3,"LINESTRING (9835256.56992437 2577131.3360360623, 9835369.459019983 2577115.0643691104)",,,,,,,15,0,6.39,204,300.0,65.0,3,53,27,30.0,426.5176756454268
302473862,1881428516,0,36165827,secondary,40,Shakespeare Sarani,False,False,192.41466956924774,3,"LINESTRING (9835256.56992437 2577131.3360360623, 9835208.413112652 2577139.351344523, 9835204.962208437 2577139.978105648, 9835197.32569137 2577142.232035274, 9835165.566240646 2577146.968904414, 9835058.287647368 2577161.372369753, 9835050.450755216 2577162.577681226)",,,,,,,20,0,6.39,204,300.0,65.0,3,53,28,28.0,757.1132897526724
302473862,5423956170,0,562652473,residential,,Pretoria Strret,False,True,163.61760836663063,,"LINESTRING (9835256.56992437 2577131.3360360623, 9835230.376448186 2576997.8124129265, 9835228.428357098 2576989.2668411117, 9835221.326173585 2576957.531349787)",,,,,,,20,0,6.39,204,300.0,65.0,3,53,73,5.0,1543.8902492916843
302478196,302473862,0,36165827,secondary,40,Shakespeare Sarani,False,False,105.22150482883544,3,"LINESTRING (9835369.459019983 2577115.0643691104, 9835256.56992437 2577131.3360360623)",,,,,,,15,0,6.39,204,300.0,65.0,3,53,37,33.0,552.7834814400293
302478196,302477966,0,562677712,secondary,40,Shakespeare Sarani,False,True,100.13869125917985,3,"LINESTRING (9835369.459019983 2577115.0643691104, 9835476.470446482 2577096.8762802226)",,,,,,,13,0,6.39,204,300.0,65.0,3,53,50,34.0,676.4321475550792
302478196,1271382846,0,177706425,secondary,40,Camac Street,False,True,155.16489017013387,4,"LINESTRING (9835369.459019983 2577115.0643691104, 9835344.300815064 2577020.9421279123, 9835342.697814396 2577014.8433046844, 9835333.358109118 2576979.250809776, 9835326.3449812 2576952.4932105113)",,,,,,,17,0,6.39,204,300.0,65.0,3,53,29,31.0,635.5738177920658
302478196,6508537932,0,562638721,secondary_link,40,Camac Street,False,False,140.77464282386052,,"LINESTRING (9835369.459019983 2577115.0643691104, 9835404.001457976 2577241.091858683, 9835408.821591927 2577262.4741996466)",,,,,,,12,0,6.39,204,300.0,65.0,3,53,28,31.0,543.6027998881714
1881428516,302478212,0,36165827,secondary,40,Shakespeare Sarani,False,False,68.11693992906461,3,"LINESTRING (9835050.450755216 2577162.577681226, 9834977.414037308 2577173.413435286)",,,,,,,6,0,6.39,204,300.0,65.0,3,53,78,26.0,678.1745577360448
1881428516,302473862,0,36165827,secondary,40,Shakespeare Sarani,False,True,192.41466956924774,3,"LINESTRING (9835050.450755216 2577162.577681226, 9835058.287647368 2577161.372369753, 9835165.566240646 2577146.968904414, 9835197.32569137 2577142.232035274, 9835204.962208437 2577139.978105648, 9835208.413112652 2577139.351344523, 9835256.56992437 2577131.3360360623)",,,,,,,20,0,6.39,204,300.0,65.0,3,53,15,33.0,456.94640522464596
1881428516,1881428360,0,177706433,tertiary,40,Nandalal Bose Sarani,False,True,192.4705295558251,,"LINESTRING (9835050.450755216 2577162.577681226, 9835060.024231425 2577203.2208352047, 9835082.922650682 2577286.351581312, 9835099.85434523 2577365.2038343186)",,,,,,,17,0,6.39,204,300.0,65.0,3,53,71,35.0,1735.4489118156296
5423956170,2150854914,0,655503086,residential,,,False,False,95.51065533497254,,"LINESTRING (9835221.326173585 2576957.531349787, 9835321.346736062 2576930.809944298)",,,,,,,12,0,6.39,204,300.0,65.0,3,53,61,5.0,769.7379970519991
5423956170,302473862,0,562652473,residential,,Pretoria Strret,False,False,163.61760836663063,,"LINESTRING (9835221.326173585 2576957.531349787, 9835228.428357098 2576989.2668411117, 9835230.376448186 2576997.8124129265, 9835256.56992437 2577131.3360360623)",,,,,,,20,0,6.39,204,300.0,65.0,3,53,31,5.0,719.257503123866
5423956170,1274591193,0,"[562652473, 111639746, 111639741]",residential,40,"['Pretoria Street', 'Pretoria Strret', 'Dr Harendra Kumar Mukherjee Sarani']",False,"[False, True]",378.2432647839225,2,"LINESTRING (9835221.326173585 2576957.531349787, 9835219.54506173 2576949.5281818905, 9835210.96232899 2576907.9575720285, 9835192.60574496 2576819.0433399864, 9835092.919140954 2576836.8574858652, 9835083.991317792 2576809.54568408, 9835064.632858343 2576698.2017416647, 9835056.116917297 2576674.1203072057)",,,,,,,31,0,6.39,204,300.0,65.0,3,53,12,28.0,710.2703012888484
302473971,6147021036,0,27553226,secondary,40,Rafi Ahmad Kidwai Road,False,True,133.10750745964472,,"LINESTRING (9835634.566387307 2577705.7722383174, 9835640.510848116 2577721.839573292, 9835690.215000754 2577838.87966851)",,,,,,,16,1,6.39,204,300.0,65.0,3,53,37,27.0,678.5973331208226
302473971,302477826,0,656173036,secondary,40,Park Street,False,True,379.75915803730527,6,"LINESTRING (9835634.566387307 2577705.7722383174, 9835665.791504474 2577686.5469029127, 9835726.004217045 2577649.482447534, 9835744.271745484 2577638.236565698, 9835772.123882081 2577628.8589765835, 9835784.71411649 2577623.53135119, 9835795.178148624 2577619.722461683, 9835866.489414424 2577593.7955186293, 9835945.871343309 2577559.8892612467, 9835963.604538195 2577556.1406533164, 9835985.033540173 2577546.3291883264, 9836001.286185827 2577538.880192973, 9836006.896688163 2577534.926682231)",,,,,,,22,1,6.39,204,300.0,65.0,3,53,28,31.0,1393.5907710053457
302473971,1881428472,0,1113596316,residential,40,Wood Street,False,False,259.29378572181434,,"LINESTRING (9835634.566387307 2577705.7722383174, 9835632.08396266 2577696.5754136546, 9835566.182824112 2577433.1482108966)",,,,,,,11,1,6.39,204,300.0,65.0,3,53,42,33.0,1369.440680037944
302473971,7054075564,0,1178288173,secondary,40,Park Street,False,False,96.4106847219866,6,"LINESTRING (9835634.566387307 2577705.7722383174, 9835620.662582908 2577721.9721620176, 9835606.280104697 2577738.5819215993, 9835573.563306352 2577776.393896241, 9835566.271879707 2577784.8796046255)",,,,,,,7,2,6.39,204,300.0,65.0,3,53,12,30.0,178.4313859996607
