u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,bridge,width,tunnel,access,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
302473971,6147021036,0,27553226,secondary,40,Rafi Ahmad Kidwai Road,False,True,133.10750745964472,"LINESTRING (9835634.566387307 2577705.7722383174, 9835640.510848116 2577721.839573292, 9835690.215000754 2577838.87966851)",,,,,,,,16,1,6.48,204,300.0,65.0,3,53,77,28.0,1317.5133689271172
302473971,302477826,0,656173036,secondary,40,Park Street,False,True,379.75915803730527,"LINESTRING (9835634.566387307 2577705.7722383174, 9835665.791504474 2577686.5469029127, 9835726.004217045 2577649.482447534, 9835744.271745484 2577638.236565698, 9835772.123882081 2577628.8589765835, 9835784.71411649 2577623.53135119, 9835795.178148624 2577619.722461683, 9835866.489414424 2577593.7955186293, 9835945.871343309 2577559.8892612467, 9835963.604538195 2577556.1406533164, 9835985.033540173 2577546.3291883264, 9836001.286185827 2577538.880192973, 9836006.896688163 2577534.926682231)",6,,,,,,,20,1,6.48,204,300.0,65.0,3,53,56,34.0,2659.5815420106915
302473971,7054075564,0,1178288173,secondary,40,Park Street,False,False,96.4106847219866,"LINESTRING (9835634.566387307 2577705.7722383174, 9835620.662582908 2577721.9721620176, 9835606.280104697 2577738.5819215993, 9835573.563306352 2577776.393896241, 9835566.271879707 2577784.8796046255)",6,,,,,,,7,2,6.48,204,300.0,65.0,3,53,41,30.0,513.940568832174
6147021036,302473971,0,27553226,secondary,40,Rafi Ahmad Kidwai Road,False,False,133.10750745964472,"LINESTRING (9835690.215000754 2577838.87966851, 9835640.510848116 2577721.839573292, 9835634.566387307 2577705.7722383174)",,,,,,,,16,1,6.48,204,300.0,65.0,3,53,27,30.0,518.8683241692489
6147021036,6147021014,0,27553226,secondary,40,Rafi Ahmad Kidwai Road,False,True,74.84613831317984,"LINESTRING (9835690.215000754 2577838.87966851, 9835698.641886208 2577860.4556359155, 9835720.805596825 2577914.022013439)",,,,,,,,14,0,6.48,204,300.0,65.0,3,53,68,29.0,691.3444886355473
6147021036,1270610302,0,656173031,residential,,,False,False,64.26355561756445,"LINESTRING (9835690.215000754 2577838.87966851, 9835700.267150773 2577832.9372421796, 9835740.631598135 2577809.071129422, 9835748.012080375 2577800.7903195145)",,,,,,,,16,0,6.48,204,300.0,65.0,3,53,18,5.0,229.4092801339392
302477826,1270610198,0,656173036,secondary,40,Park Street,False,True,8.341017749102596,"LINESTRING (9836006.896688163 2577534.926682231, 9836014.288302353 2577529.7196207363)",6,,,,,,,5,0,6.48,204,300.0,65.0,3,53,52,32.0,87.6479507544002
302477826,302473971,0,656173036,secondary,40,Park Street,False,False,379.7591580373053,"LINESTRING (9836006.896688163 2577534.926682231, 9836001.286185827 2577538.880192973, 9835985.033540173 2577546.3291883264, 9835963.604538195 2577556.1406533164, 9835945.871343309 2577559.8892612467, 9835866.489414424 2577593.7955186293, 9835795.178148624 2577619.722461683, 9835784.71411649 2577623.53135119, 9835772.123882081 2577628.8589765835, 9835744.271745484 2577638.236565698, 9835726.004217045 2577649.482447534, 9835665.791504474 2577686.5469029127, 9835634.566387307 2577705.7722383174)",6,,,,,,,20,1,6.48,204,300.0,65.0,3,53,55,27.0,2614.010443046215
7054075564,6147021061,0,1178288173,secondary,40,Park Street,False,False,31.47112452197242,"LINESTRING (9835566.271879707 2577784.8796046255, 9835557.778202558 2577795.2938890136, 9835554.794840204 2577798.946122236, 9835544.319676122 2577810.9876493337)",6,,,,,,,6,2,6.48,204,300.0,65.0,3,53,78,34.0,329.1697255256619
7054075564,302473971,0,1178288173,secondary,40,Park Street,False,True,96.41068472198658,"LINESTRING (9835566.271879707 2577784.8796046255, 9835573.563306352 2577776.393896241, 9835606.280104697 2577738.5819215993, 9835620.662582908 2577721.9721620176, 9835634.566387307 2577705.7722383174)",6,,,,,,,7,2,6.48,204,300.0,65.0,3,53,34,27.0,432.9555936657053
