u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,bridge,width,tunnel,access,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
302476653,9914104086,0,1126704636,primary,4,40,AJC Bose Road,True,SH1,False,14.960610399144498,"LINESTRING (9836978.393016266 2579059.4604789545, 9836973.03854876 2579044.1512835557)",,,,,,6,0,6.96,181,300.0,65.0,3,58,50,32.0,131.363662394867
302476653,1219108159,0,"[27553089, 1392018925]",secondary,,40,Dr Lal Mohan Battacharya Road,True,,False,122.89290545085352,"LINESTRING (9836978.393016266 2579059.4604789545, 9836979.227912446 2579058.83364548, 9836992.886813968 2579049.3467648234, 9837087.786679868 2578983.4209292047)",,,,,,14,0,6.96,181,300.0,65.0,3,58,26,27.0,465.02586500666297
9914104086,10302573051,0,1126744155,secondary,,,Acharya Jagadish Chandra Bose Road,True,,False,11.137965062536905,"LINESTRING (9836973.03854876 2579044.1512835557, 9836962.173766457 2579049.41909172)",,,,,,5,0,6.96,181,300.0,65.0,3,58,27,5.0,72.68700680261958
9914104086,302478906,0,1126744154,primary,4,40,AJC Bose Road,True,SH1,False,61.02427662176668,"LINESTRING (9836973.03854876 2579044.1512835557, 9836967.895588284 2579029.4448256623, 9836951.186532715 2578981.709199527)",,,,,,11,0,6.96,181,300.0,65.0,3,58,60,26.0,505.97479167672014
1219108159,1219155143,0,27553089,secondary,,40,Dr Lal Mohan Battacharya Road,True,,False,17.187879381267567,"LINESTRING (9837087.786679868 2578983.4209292047, 9837103.404804425 2578973.259043624)",,,,,,8,0,6.96,181,300.0,65.0,3,58,65,34.0,185.66545917388703
1219108159,1219108045,0,749320088,tertiary,,,Convent Road,False,,True,268.26158079989835,"LINESTRING (9837087.786679868 2578983.4209292047, 9837112.366023434 2578994.932918596, 9837166.055413844 2579003.28664992, 9837235.318401016 2578996.126308528, 9837301.074824227 2578991.0513882977, 9837339.99211821 2578988.0498328814, 9837373.677396124 2578979.6237826203)",,,,,,22,1,6.96,181,300.0,65.0,3,58,67,5.0,2275.423109631183
302476661,9914104094,0,1092364824,tertiary,,,Dr Lal Mohan Battacharya Road,True,,False,7.980769447507795,"LINESTRING (9837608.873216271 2578771.4570958028, 9837600.257087683 2578772.2406241056)",,,,,,8,0,6.96,181,300.0,65.0,3,58,29,5.0,79.37307767732713
302476661,302476662,0,1218509066,secondary,4,,CIT Road (Dr. Sundari Mohan Avenue),True,,False,122.71694946742679,"LINESTRING (9837608.873216271 2578771.4570958028, 9837606.83606959 2578749.9763804236, 9837596.327509658 2578639.017234787)",,,,,,26,1,6.96,181,300.0,65.0,3,58,53,5.0,919.0797986128343
9914104094,9914104093,0,1204351764,secondary,,,Dr Lal Mohan Battacharya Road,True,,False,85.4893412298847,"LINESTRING (9837600.257087683 2578772.2406241056, 9837596.327509658 2578775.881017625, 9837510.377730817 2578791.286400349)",,,,,,17,0,6.96,181,300.0,65.0,3,58,12,5.0,219.70465137103398
302476662,9917506462,0,106074327,residential,,,,False,,True,8.897395005840744,"LINESTRING (9837596.327509658 2578639.017234787, 9837586.731769552 2578639.993623822)",,,,,,18,1,6.96,181,300.0,65.0,3,58,16,5.0,115.68299841121421
302476662,1219155059,0,1218509066,secondary,4,,CIT Road (Dr. Sundari Mohan Avenue),True,,False,99.38749928921771,"LINESTRING (9837596.327509658 2578639.017234787, 9837586.130644301 2578531.7594402456)",,,,,,37,1,6.96,181,300.0,65.0,3,58,16,5.0,384.42399863529806
302476662,1283735118,0,113114057,residential,,,,False,,False,93.21274329948193,"LINESTRING (9837596.327509658 2578639.017234787, 9837644.985259086 2578632.3753800313, 9837696.348072136 2578624.660706333)",,,,,,38,1,6.96,181,300.0,65.0,3,58,39,5.0,634.8356386415754
9917506462,302476662,0,106074327,residential,,,,False,,False,8.897395005840744,"LINESTRING (9837586.731769552 2578639.993623822, 9837596.327509658 2578639.017234787)",,,,,,18,1,6.96,181,300.0,65.0,3,58,22,5.0,122.08912281541956
9917506462,1221317060,0,106074327,residential,,,,False,,True,46.11707520631251,"LINESTRING (9837586.731769552 2578639.993623822, 9837536.983089117 2578644.935840806)",,,,,,23,1,6.96,181,300.0,65.0,3,58,28,5.0,278.55337269321
9917506462,9914104094,0,1218509067,secondary,,,CIT Road (Dr. Sundari Mohan Avenue),True,,False,122.62847319778297,"LINESTRING (9837586.731769552 2578639.993623822, 9837600.257087683 2578772.2406241056)",,,,,,27,1,6.96,181,300.0,65.0,3,58,76,5.0,1261.9716755637805
1219155059,9917506461,0,106074325,residential,,,,False,,True,9.443206694550266,"LINESTRING (9837586.130644301 2578531.7594402456, 9837576.290001316 2578534.5801016414)",,,,,,19,0,6.96,181,300.0,65.0,3,58,11,5.0,119.06503283680635
1219155059,1283735407,0,113114064,residential,,,,False,,False,82.80808489376369,"LINESTRING (9837586.130644301 2578531.7594402456, 9837622.621173386 2578523.647027873, 9837674.251153214 2578514.7752114446)",,,,,,26,0,6.96,181,300.0,65.0,3,58,25,5.0,390.02425468129104
1219155059,1280447980,0,"[1218509066, 105874639]",secondary,4,,CIT Road (Dr. Sundari Mohan Avenue),True,,False,129.3814325385536,"LINESTRING (9837586.130644301 2578531.7594402456, 9837577.414328173 2578439.8832866764, 9837567.88537976 2578392.872593626)",,,,,,41,0,6.96,181,300.0,65.0,3,58,56,5.0,1086.0432266590801
1283735118,302476662,0,113114057,residential,,,,False,,True,93.21274329948193,"LINESTRING (9837696.348072136 2578624.660706333, 9837644.985259086 2578632.3753800313, 9837596.327509658 2578639.017234787)",,,,,,38,1,6.96,181,300.0,65.0,3,58,78,5.0,1071.0712772831507
302477392,6148941000,0,111508754,tertiary,,40,Humayun Place,False,,False,15.878262745949032,"LINESTRING (9835148.601150248 2578981.6850906587, 9835165.811143527 2578981.3475665185)",,,,,,1,1,6.96,181,300.0,65.0,3,58,79,35.0,164.1259308315968
302477392,302478894,0,"[1194659613, 1427088654]",primary,,40,Jawaharlal Nehru Road,True,,False,310.3686647172276,"LINESTRING (9835148.601150248 2578981.6850906587, 9835151.217158282 2579010.3505587596, 9835165.41039336 2579165.865803753, 9835182.21963647 2579316.4521402363)",,,,,,4,2,6.96,181,300.0,65.0,3,58,39,30.0,1478.125350876625
6148941000,302477392,0,111508754,tertiary,,40,Humayun Place,False,,True,15.878262745949032,"LINESTRING (9835165.811143527 2578981.3475665185, 9835148.601150248 2578981.6850906587)",,,,,,1,1,6.96,181,300.0,65.0,3,58,61,32.0,129.82888330034692
6148941000,1270257397,0,1194659614,tertiary,,40,Humayun Place,False,,False,137.61053149844557,"LINESTRING (9835165.811143527 2578981.3475665185, 9835203.759957938 2578978.1893052477, 9835271.353152746 2578967.955096321, 9835313.610031452 2578961.566252954)",,,,,,6,1,6.96,181,300.0,65.0,3,58,12,33.0,236.7591653577616
6148941000,664471750,0,"[1373593668, 1194659615]",primary,,,Chowringhee Road,True,,False,111.7434867245064,"LINESTRING (9835165.811143527 2578981.3475665185, 9835158.14123061 2578922.847503791, 9835150.05943558 2578861.237625258)",,,,,,3,1,6.96,181,300.0,65.0,3,58,26,5.0,372.23967858045995
302478894,10542380575,0,27553135,primary,,,Chowringhee Road,True,,False,6.92267278468754,"LINESTRING (9835182.21963647 2579316.4521402363, 9835183.833769085 2579323.7813851503)",,,,,,1,2,6.96,181,300.0,65.0,3,58,42,5.0,45.4902708348252
302478894,10279712290,0,1124087857,secondary,,,,True,,False,15.379838187643832,"LINESTRING (9835182.21963647 2579316.4521402363, 9835166.033782508 2579312.4499881268)",,,,,,1,2,6.96,181,300.0,65.0,3,58,48,5.0,99.18786796082847
302477393,302477392,0,"[1194659612, 1373593669]",primary,,40,Chowringhee Road,True,,False,125.6928731309693,"LINESTRING (9835135.198283557 2578846.0853187577, 9835142.934988167 2578924.414574702, 9835148.601150248 2578981.6850906587)",,,,,,3,1,6.96,181,300.0,65.0,3,58,60,26.0,928.588686542979
302477394,1270257355,0,79808866,tertiary,,40,Sudder Street,False,,False,199.46721319094948,"LINESTRING (9835137.82542354 2578720.515781119, 9835292.926870061 2578693.35759077, 9835309.324231058 2578690.6212819964, 9835350.846401121 2578683.376695744)",,,,,,19,3,6.96,181,300.0,65.0,3,58,27,30.0,743.8737707386763
302477394,663943279,0,647944439,secondary,,40,Chowringhee Road,True,,False,288.1876112592731,"LINESTRING (9835137.82542354 2578720.515781119, 9835131.636059852 2578651.9754889985, 9835119.669214591 2578515.341753929, 9835109.706120165 2578409.374537149)",,,,,,7,2,6.96,181,300.0,65.0,3,58,29,30.0,1043.4928871822704
1270257355,1270257421,0,79808866,tertiary,,40,Sudder Street,False,,False,50.80538472538468,"LINESTRING (9835350.846401121 2578683.376695744, 9835405.103520934 2578673.914137756)",,,,,,16,0,6.96,181,300.0,65.0,3,58,14,27.0,176.95304633864626
1270257355,302477394,0,79808866,tertiary,,40,Sudder Street,False,,True,199.46721319094948,"LINESTRING (9835350.846401121 2578683.376695744, 9835309.324231058 2578690.6212819964, 9835292.926870061 2578693.35759077, 9835137.82542354 2578720.515781119)",,,,,,19,3,6.96,181,300.0,65.0,3,58,45,30.0,1174.7229512311271
1270257355,10943518780,0,111508749,residential,,,Madge Lane,False,,False,68.22827939176034,"LINESTRING (9835350.846401121 2578683.376695744, 9835358.416126495 2578726.783989365, 9835364.18247612 2578756.124057074)",,,,,,20,0,6.96,181,300.0,65.0,3,58,73,5.0,709.2797274718206
663943279,2283710617,0,647944442,tertiary,,,,False,,False,21.599940366213236,"LINESTRING (9835109.706120165 2578409.374537149, 9835086.874492604 2578414.569820056)",,,,,,2,1,6.96,181,300.0,65.0,3,58,32,5.0,101.54377100625882
663943279,1270257449,0,111508766,tertiary,,,KYD Street (previously Doctor Mohammad Ishaque Road),False,,True,252.10705485936924,"LINESTRING (9835109.706120165 2578409.374537149, 9835119.112617139 2578408.229405405, 9835179.369857505 2578401.5755888266, 9835217.340935815 2578399.6348928264, 9835252.907513123 2578398.3933296655, 9835290.344257876 2578397.055334518, 9835298.348129265 2578396.862470362, 9835337.588249769 2578395.3677732246, 9835382.31642117 2578392.0529211825)",,,,,,17,1,6.96,181,300.0,65.0,3,58,25,5.0,849.9211645781078
663943279,302477396,0,"[219177864, 1453839264]",secondary,,40,Chowringhee Road,True,,False,92.44863242896695,"LINESTRING (9835109.706120165 2578409.374537149, 9835105.809937987 2578370.753505824, 9835102.40356157 2578341.305632413, 9835101.835832167 2578336.84566432, 9835100.622449717 2578327.2266020714, 9835098.874733713 2578309.7483703727)",,,,,,5,1,6.96,181,300.0,65.0,3,58,58,30.0,677.0424817056099
302477396,2283710613,0,656173043,secondary,6,40,Park Street,False,,False,25.658905911946388,"LINESTRING (9835098.874733713 2578309.7483703727, 9835074.71840421 2578323.538090956)",,,,,,4,1,6.96,181,300.0,65.0,3,58,10,28.0,59.39068709433567
302477396,7055897012,0,"[1480586113, 1480586114, 1476466974]",secondary,,40,Chowringhee Road,True,,False,175.9774235881801,"LINESTRING (9835098.874733713 2578309.7483703727, 9835094.711384756 2578289.124080597, 9835074.328785993 2578201.877952484, 9835067.83885968 2578178.0113102454, 9835056.651250854 2578123.7570151025)",,,,,,8,1,6.96,181,300.0,65.0,3,58,51,26.0,1125.5818323596623
