u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,maxspeed,ref,bridge,width,junction,access,tunnel,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
290731701,2271812194,0,52151691,primary,2,Bidhannagar Road,True,False,10.430310492782535,"LINESTRING (9839904.559415156 2582685.0389520433, 9839913.899120433 2582678.660736216)",,,,,,,,5,0,6.57,204,300.0,65.0,3,54,32,5.0,75.85239229228493
2271812194,2005373606,0,1503326169,tertiary,,,False,True,13.536146912117173,"LINESTRING (9839913.899120433 2582678.660736216, 9839928.54876542 2582677.7564525073)",,,,,,,,5,0,6.57,204,300.0,65.0,3,54,10,5.0,52.04337629454061
2271812194,1305696727,0,1126633517,primary,2,,True,False,42.026880356450704,"LINESTRING (9839913.899120433 2582678.660736216, 9839910.014070205 2582674.066975485, 9839907.487117762 2582669.7023011115, 9839904.459227614 2582663.1070632827, 9839902.166046103 2582654.739434414, 9839900.99719145 2582645.865411865, 9839900.418330098 2582636.255911817)",,,,,,,,7,0,6.57,204,300.0,65.0,3,54,40,5.0,247.52902571096337
293685287,12259640486,0,26774680,residential,,,False,True,48.847135102964785,"LINESTRING (9840423.319374202 2582642.2362273787, 9840452.373761298 2582597.950594879)",,,,,,,,47,0,6.57,204,300.0,65.0,3,54,49,5.0,533.0211544054329
293685287,293685300,0,162339437,residential,,,False,False,115.57961515134862,"LINESTRING (9840423.319374202 2582642.2362273787, 9840528.427237408 2582710.4915541545)",,,,,,,,78,0,6.57,204,300.0,65.0,3,54,52,5.0,1122.0167985444152
293685287,1662341079,0,162339437,residential,,,False,True,78.18740205026775,"LINESTRING (9840423.319374202 2582642.2362273787, 9840352.219615433 2582596.0576369064)",,,,,,,,55,0,6.57,204,300.0,65.0,3,54,29,5.0,557.8921591349317
12259640486,293685287,0,26774680,residential,,,False,False,48.847135102964785,"LINESTRING (9840452.373761298 2582597.950594879, 9840423.319374202 2582642.2362273787)",,,,,,,,47,0,6.57,204,300.0,65.0,3,54,44,5.0,503.71287334365405
12259640486,6508693539,0,361033191,secondary,2,1st Avenue,True,False,60.2754234958693,"LINESTRING (9840452.373761298 2582597.950594879, 9840507.47690924 2582633.0969556766)",40,,,,,,,43,0,6.57,204,300.0,65.0,3,54,38,28.0,500.655931141164
293685300,293685287,0,162339437,residential,,,False,True,115.57961515134862,"LINESTRING (9840528.427237408 2582710.4915541545, 9840423.319374202 2582642.2362273787)",,,,,,,,78,0,6.57,204,300.0,65.0,3,54,39,5.0,941.7125989083114
293685300,293685335,0,162339446,residential,,,False,False,38.12299161627402,"LINESTRING (9840528.427237408 2582710.4915541545, 9840506.074283656 2582745.264381074)",,,,,,,,40,0,6.57,204,300.0,65.0,3,54,59,5.0,480.7107806432201
293685300,2030023038,0,162339446,residential,,,False,True,21.432421572460054,"LINESTRING (9840528.427237408 2582710.4915541545, 9840540.093520043 2582690.3923146664)",,,,,,,,31,0,6.57,204,300.0,65.0,3,54,43,5.0,276.39129531389386
1662341079,293685287,0,162339437,residential,,,False,False,78.18740205026775,"LINESTRING (9840352.219615433 2582596.0576369064, 9840423.319374202 2582642.2362273787)",,,,,,,,55,0,6.57,204,300.0,65.0,3,54,55,5.0,801.8368535317671
1662341079,293685331,0,162339450,residential,,,False,True,38.608235139583925,"LINESTRING (9840352.219615433 2582596.0576369064, 9840330.356467439 2582631.758619477)",,,,,,,,32,1,6.57,204,300.0,65.0,3,54,36,5.0,334.58757580300255
1662341079,1662341075,0,"[162339437, 162339447]",residential,,,False,True,122.5353955727862,"LINESTRING (9840352.219615433 2582596.0576369064, 9840313.636279924 2582571.003092479, 9840312.890439335 2582570.870465059, 9840312.300446033 2582571.280404362, 9840267.739253867 2582644.117133525)",,,,,,,,55,2,6.57,204,300.0,65.0,3,54,25,5.0,647.4061867183586
293685335,293685331,0,26774686,residential,,,False,True,192.92213628658592,"LINESTRING (9840506.074283656 2582745.264381074, 9840330.356467439 2582631.758619477)",,,,,,,,109,1,6.57,204,300.0,65.0,3,54,17,5.0,946.3611580246352
