u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,bridge,maxspeed,ref,width,junction,tunnel,access,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
290731701,2271812194,0,52151691,primary,2,Bidhannagar Road,True,False,10.430310492782535,"LINESTRING (9839904.559415156 2582685.0389520433, 9839913.899120433 2582678.660736216)",,,,,,,,5,0,4.61,196,300.0,65.0,3,62,42,5.0,89.96876488362398
290731701,1307950052,0,115880793,tertiary,,Canal Circular Road,True,False,155.72426907691312,"LINESTRING (9839904.559415156 2582685.0389520433, 9839906.685617428 2582696.408821115, 9839909.078986483 2582699.929503255, 9839918.374163963 2582706.874412679, 9839940.471082885 2582724.7913278365, 9839946.148376916 2582729.07161662, 9839993.47029245 2582764.8090567463, 9840030.639870428 2582792.866136013)",,,,,,,,15,0,4.61,196,300.0,65.0,3,62,77,5.0,1526.2922462706774
290731701,2005449387,0,"[189924440, 1388181075, 1307640748]",primary,2,Kazi Nazrul Islam Avenue,True,False,221.99135464091992,"LINESTRING (9839904.559415156 2582685.0389520433, 9839911.51688333 2582691.043399427, 9839922.392797582 2582698.9769898625, 9839938.411672305 2582710.744754087, 9840030.061009075 2582774.659774921, 9840092.344264176 2582819.2352520134, 9840100.348135563 2582824.9865462524)",yes,40,,,,,,11,0,4.61,196,300.0,65.0,3,62,64,35.0,1772.293603642265
2271812194,2005373606,0,1503326169,tertiary,,,False,True,13.536146912117173,"LINESTRING (9839913.899120433 2582678.660736216, 9839928.54876542 2582677.7564525073)",,,,,,,,5,0,4.61,196,300.0,65.0,3,62,78,5.0,164.09833509741676
2271812194,1305696727,0,1126633517,primary,2,,True,False,42.026880356450704,"LINESTRING (9839913.899120433 2582678.660736216, 9839910.014070205 2582674.066975485, 9839907.487117762 2582669.7023011115, 9839904.459227614 2582663.1070632827, 9839902.166046103 2582654.739434414, 9839900.99719145 2582645.865411865, 9839900.418330098 2582636.255911817)",,,,,,,,7,0,4.61,196,300.0,65.0,3,62,71,5.0,405.46902063695995
1307950052,2005373392,0,361033195,secondary,2,,True,False,31.913413400369617,"LINESTRING (9840030.639870428 2582792.866136013, 9840049.653239455 2582763.952997059)",,40,,,,,,4,1,4.61,196,300.0,65.0,3,62,50,32.0,220.8804804022177
2005449387,13758336228,0,1503326168,tertiary,,,False,True,7.563633000542998,"LINESTRING (9840100.348135563 2582824.9865462524, 9840095.817432286 2582831.8229929386)",,,,,,,,1,0,4.61,196,300.0,65.0,3,62,62,5.0,73.6734295240399
2005449387,13758439001,0,153585433,primary,2,Kazi Nazrul Islam Avenue,True,False,129.793538036648,"LINESTRING (9840100.348135563 2582824.9865462524, 9840153.069046402 2582866.3187571666, 9840212.847612958 2582909.5078926305)",,40,,,,,,0,0,4.61,196,300.0,65.0,3,62,39,31.0,619.8337580115125
293685287,12259640486,0,26774680,residential,,,False,True,48.847135102964785,"LINESTRING (9840423.319374202 2582642.2362273787, 9840452.373761298 2582597.950594879)",,,,,,,,47,0,4.61,196,300.0,65.0,3,62,58,5.0,587.3760603166348
293685287,293685300,0,162339437,residential,,,False,False,115.57961515134862,"LINESTRING (9840423.319374202 2582642.2362273787, 9840528.427237408 2582710.4915541545)",,,,,,,,78,0,4.61,196,300.0,65.0,3,62,71,5.0,1387.13832108949
293685287,1662341079,0,162339437,residential,,,False,True,78.18740205026775,"LINESTRING (9840423.319374202 2582642.2362273787, 9840352.219615433 2582596.0576369064)",,,,,,,,55,0,4.61,196,300.0,65.0,3,62,19,5.0,465.66727667461043
12259640486,293685287,0,26774680,residential,,,False,False,48.847135102964785,"LINESTRING (9840452.373761298 2582597.950594879, 9840423.319374202 2582642.2362273787)",,,,,,,,47,0,4.61,196,300.0,65.0,3,62,74,5.0,681.1625597143272
12259640486,6508693539,0,361033191,secondary,2,1st Avenue,True,False,60.2754234958693,"LINESTRING (9840452.373761298 2582597.950594879, 9840507.47690924 2582633.0969556766)",,40,,,,,,43,0,4.61,196,300.0,65.0,3,62,62,29.0,675.8491508092676
293685300,293685287,0,162339437,residential,,,False,True,115.57961515134862,"LINESTRING (9840528.427237408 2582710.4915541545, 9840423.319374202 2582642.2362273787)",,,,,,,,78,0,4.61,196,300.0,65.0,3,62,45,5.0,1026.5299218172825
293685300,293685335,0,162339446,residential,,,False,False,38.12299161627402,"LINESTRING (9840528.427237408 2582710.4915541545, 9840506.074283656 2582745.264381074)",,,,,,,,43,0,4.61,196,300.0,65.0,3,62,70,5.0,547.6331295767018
293685300,2030023038,0,162339446,residential,,,False,True,21.432421572460054,"LINESTRING (9840528.427237408 2582710.4915541545, 9840540.093520043 2582690.3923146664)",,,,,,,,31,0,4.61,196,300.0,65.0,3,62,39,5.0,267.70373295911304
1662341079,293685287,0,162339437,residential,,,False,False,78.18740205026775,"LINESTRING (9840352.219615433 2582596.0576369064, 9840423.319374202 2582642.2362273787)",,,,,,,,55,0,4.61,196,300.0,65.0,3,62,22,5.0,493.81474141270684
1662341079,293685331,0,162339450,residential,,,False,True,38.608235139583925,"LINESTRING (9840352.219615433 2582596.0576369064, 9840330.356467439 2582631.758619477)",,,,,,,,32,1,4.61,196,300.0,65.0,3,62,40,5.0,354.7195286700028
