u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,junction,bridge,ref,tunnel,access,maxspeed,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
407164250,13380911363,0,310458361,primary,Biswa Bangla Sarani,True,False,68.13327332422604,"LINESTRING (9846692.309894072 2581521.736316949, 9846764.778882578 2581507.4014103934)",,,,,,,,1,2,4.28,188,300.0,65.0,3,58,17,5.0,149.5918775814211
13380911363,13380911362,0,1459004379,primary_link,,False,True,10.348122910099478,"LINESTRING (9846764.778882578 2581507.4014103934, 9846766.760369515 2581518.4449537946)",,,,,,,,1,0,4.28,188,300.0,65.0,3,58,78,5.0,113.45843043853111
660612423,1702530380,0,325486003,primary,,True,False,595.2045573031317,"LINESTRING (9846426.423290312 2581498.745013603, 9846260.779888012 2581476.248048058, 9846167.126800407 2581463.034410473, 9846022.85674034 2581447.07196449, 9845922.023545578 2581437.0170781435, 9845894.204804828 2581434.9675217215, 9845785.200759446 2581428.0593128195)",,,,,,,,8,6,4.28,188,300.0,65.0,3,58,36,5.0,2604.8836875495285
1702530380,2009261579,0,310458362,tertiary,,False,True,11.36976726492901,"LINESTRING (9845785.200759446 2581428.0593128195, 9845792.080303976 2581420.512128019, 9845793.950471422 2581419.5235194014)",,,,,,,,3,2,4.28,188,300.0,65.0,3,58,31,5.0,62.89553422553592
1702530380,9570536062,0,325486003,primary,,True,False,41.74982955130916,"LINESTRING (9845785.200759446 2581428.0593128195, 9845777.430658987 2581427.516783446, 9845758.027671741 2581426.1423757803, 9845740.082969826 2581424.43039446)",,,,,,,,9,2,4.28,188,300.0,65.0,3,58,62,5.0,361.2187318617402
660612424,1352557877,0,325486003,primary,,True,False,12.456984783494402,"LINESTRING (9846583.094341654 2581507.449635458, 9846569.591287421 2581507.7510421136)",,,,,,,,1,5,4.28,188,300.0,65.0,3,58,48,5.0,73.35223235292776
660612424,2009123115,0,190308952,tertiary,,True,False,66.50134737097657,"LINESTRING (9846583.094341654 2581507.449635458, 9846582.916230468 2581501.108040692, 9846582.125862084 2581435.3533205576)",,,,,,,,2,5,4.28,188,300.0,65.0,3,58,47,5.0,381.66759917230786
1352557877,2009123204,0,316542720,tertiary,NBCC,True,False,19.261224620834486,"LINESTRING (9846569.591287421 2581507.7510421136, 9846570.860329617 2581528.596339686)",,,,,,,,1,5,4.28,188,300.0,65.0,3,58,43,5.0,100.98791904350594
1352557877,660612423,0,325486003,primary,,True,False,132.433975522275,"LINESTRING (9846569.591287421 2581507.7510421136, 9846537.342030937 2581507.509916789, 9846495.686277483 2581506.0149398525, 9846452.427523362 2581502.1689917394, 9846426.423290312 2581498.745013603)",,,,,,,,1,5,4.28,188,300.0,65.0,3,58,69,5.0,1098.1533173244368
2009123115,2009123206,0,656962738,tertiary,,True,False,11.100295242839122,"LINESTRING (9846582.125862084 2581435.3533205576, 9846570.09222513 2581435.5582761928)",,,,,,,,1,2,4.28,188,300.0,65.0,3,58,63,5.0,94.51823203586378
2009123115,2009122792,0,190308952,tertiary,,True,False,154.79756379483092,"LINESTRING (9846582.125862084 2581435.3533205576, 9846574.611796455 2581327.3299963055, 9846570.35939191 2581267.9295235)",,,,,,,,11,2,4.28,188,300.0,65.0,3,58,79,5.0,1528.080904774997
2009123204,2009122797,0,310458361,primary,Biswa Bangla Sarani,True,False,10.875256705897803,"LINESTRING (9846570.860329617 2581528.596339686, 9846582.649063691 2581528.343157777)",,,,,,,,1,5,4.28,188,300.0,65.0,3,58,65,5.0,86.42700230600286
2009123204,2009123099,0,1137238268,tertiary,NBCC,True,False,10.89928323021596,"LINESTRING (9846570.860329617 2581528.596339686, 9846571.650698 2581540.3873871434)",,,,,,,,1,5,4.28,188,300.0,65.0,3,58,20,5.0,27.758279752518305
1352557878,2009260942,0,190315917,residential,,False,True,54.93684406926707,"LINESTRING (9846546.347777743 2581093.707847776, 9846486.903169662 2581097.46930954)",,,,,,,,16,1,4.28,188,300.0,65.0,3,58,10,5.0,154.52421288312047
1352557878,9494750715,0,1029580201,tertiary,NBCC,True,False,12.49532534582523,"LINESTRING (9846546.347777743 2581093.707847776, 9846546.804187657 2581099.6152720805, 9846547.026826639 2581107.2346469383)",,,,,,,,11,1,4.28,188,300.0,65.0,3,58,72,5.0,171.55961098792997
