osmid,highway,maxspeed,name,oneway,reversed,length,lanes,ref,junction,bridge,width,tunnel,access,building_density,vegetation_score,vehicle_count,avg_speed_kmph,wind_speed_mps,wind_dir_deg,temperature_k,humidity_pct,weather_description,weather_source,pm2_5_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,so2_ugm3,co_ugm3,openweather_aqi_1to5,AQI,aqi_source,carbon_cost
562645426,secondary,40,Queensway,False,True,83.449534733306,,,,,,,,2,4,168,36,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1700.542620223449
1229465928,secondary,40,Shakespeare Sarani,False,True,10.66780914454647,3,,,,,,,2,2,148,59,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,213.66029040714528
1252338120,primary,40,Jawaharlal Nehru Road,False,False,16.237423285243764,2,,,,,,,3,2,54,43,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,134.41850288837958
27553226,secondary,40,Rafi Ahmad Kidwai Road,False,True,133.10750745964472,,,,,,,,16,1,152,57,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2525.0809360639196
656173036,secondary,40,Park Street,False,True,379.75915803730527,6,,,,,,,22,1,125,31,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,5823.587370559579
1113596316,residential,40,Wood Street,False,False,259.29378572181434,,,,,,,,11,1,139,52,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,4397.220345839863
1178288173,secondary,40,Park Street,False,False,96.4106847219866,6,,,,,,,7,2,87,37,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1055.72754849754
656173036,secondary,40,Park Street,False,True,26.236794304495458,6,,,,,,,7,1,192,57,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,656.6957407755754
656173036,secondary,40,Park Street,False,False,179.1302892849898,6,,,,,,,21,1,74,35,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1712.8769688507095
113279097,primary,40,Mother Teresa Sarani,True,False,89.96044913868985,,,,,,,,12,0,94,28,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1094.9538662844216
1127572637,primary,40,Park Street,False,True,10.704634367282143,6,,,,,,,7,0,36,32,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,101.44402046665886
1126704636,primary,40,AJC Bose Road,True,False,14.960610399144498,4,SH1,,,,,,6,0,107,46,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,242.29423752501532
"[27553089, 1392018925]",secondary,40,Dr Lal Mohan Battacharya Road,True,False,122.89290545085352,,,,,,,,14,0,102,51,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1594.409162718447
1092364824,tertiary,,Dr Lal Mohan Battacharya Road,True,False,7.980769447507795,,,,,,,,8,0,57,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,114.78846302095332
1218509066,secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,122.71694946742679,4,,,,,,,26,1,68,23,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1148.5703076542027
106074327,residential,,,False,True,8.897395005840744,,,,,,,,18,1,178,48,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,297.2483573247583
1218509066,secondary,,CIT Road (Dr. Sundari Mohan Avenue),True,False,99.38749928921771,4,,,,,,,37,1,144,55,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1919.6159877176822
113114057,residential,,,False,False,93.21274329948193,,,,,,,,38,1,24,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,475.6527007025079
111508754,tertiary,40,Humayun Place,False,False,15.878262745949032,,,,,,,,1,1,130,38,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,269.90089883680486
"[1194659613, 1427088654]",primary,40,Jawaharlal Nehru Road,True,False,310.3686647172276,,,,,,,,4,2,155,35,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,5807.057163740433
"[1194659612, 1373593669]",primary,40,Chowringhee Road,True,False,125.6928731309693,,,,,,,,3,1,139,45,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2128.7571238245678
79808866,tertiary,40,Sudder Street,False,False,199.46721319094948,,,,,,,,19,3,186,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,4558.308198421992
647944439,secondary,40,Chowringhee Road,True,False,288.1876112592731,,,,,,,,7,2,92,44,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3230.7912283023747
656173043,secondary,40,Park Street,False,False,25.658905911946388,6,,,,,,,4,1,57,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,212.7069164377133
"[1480586113, 1480586114, 1476466974]",secondary,40,Chowringhee Road,True,False,175.9774235881801,,,,,,,,8,1,167,50,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3583.787568707129
"[1467575441, 1483305514, 656173035, 656173039]",secondary,40,Park Street,False,"[False, True]",169.87952135145434,6,,,,,,,11,1,122,48,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2559.2361925852915
656173036,secondary,40,Park Street,False,True,8.341017749102596,6,,,,,,,7,0,50,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,105.24610649461557
27553160,secondary,40,Loudon Street,True,False,165.27142823140508,2,,,,,,,18,0,33,54,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,764.6748557963642
656173036,secondary,40,Park Street,False,False,379.7591580373053,6,,,,,,,22,1,176,38,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,8147.713417747888
177706429,residential,40,Short Street,False,True,186.62696822994695,2,,,,,,,18,0,145,28,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3357.5092472010765
562936618,tertiary,40,Rawdon Street,True,False,109.60394807102202,,,,,,,,12,1,90,32,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1260.9226391670377
"[1476468169, 1471557450]",secondary,40,Shakespeare Sarani,False,False,117.97451100430871,3,,,,,,,3,2,29,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,439.7512982949943
1327839750,secondary,40,Park Street,False,False,22.090819014573842,6,,,,,,,7,0,98,35,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,314.98803161138835
27553216,residential,40,Sir William Jones Sarani,False,False,438.1347419371234,,,,,,,,36,1,103,36,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,5612.545410342845
656173035,secondary,40,Park Street,False,True,214.5722757026936,6,,,,,,,12,0,145,36,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3813.7575972268683
562638721,secondary_link,40,Camac Street,False,False,87.29557349775466,,,,,,,,6,2,129,36,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1395.5354777452421
27553216,residential,40,Sir William Jones Sarani,False,True,438.1347419371234,,,,,,,,36,1,138,59,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,7452.711326478763
562638721,secondary_link,40,Camac Street,False,True,182.37522464813816,,,,,,,,18,1,64,28,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1507.841725297701
27553217,tertiary,40,Anandi Lal Poddar Sarani,False,False,411.9378487102247,,,,,,,,13,0,84,46,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,4237.533514999065
656173035,secondary,40,Park Street,False,False,214.57227570269362,6,,,,,,,12,0,30,33,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,852.660192529697
"[1467575441, 1483305514, 656173035, 656173039]",secondary,40,Park Street,False,"[False, True]",169.87952135145434,6,,,,,,,11,1,175,44,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3639.669948380541
177706426,residential,40,Prafulla Chandra Sen Sarani,False,True,70.16039978729435,,,,,,,,9,0,135,44,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1201.7984765541685
27553217,tertiary,40,Anandi Lal Poddar Sarani,False,True,141.84322633705182,,,,,,,,13,0,63,57,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1157.5347911081117
177706426,residential,40,Prafulla Chandra Sen Sarani,False,False,126.2440444604523,,,,,,,,8,2,92,30,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1447.9342508433933
27553223,secondary,40,Mirza Ghalib Street,False,False,43.92308061922818,,,,,,,,14,0,110,46,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,669.984664173812
27553223,secondary,40,Mirza Ghalib Street,False,True,133.0286977964962,,,,,,,,16,0,172,57,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2845.9123225196813
111524643,residential,40,Collin Lane,False,False,246.66150398468602,,,,,,,,37,0,188,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,5769.883529894516
27553223,secondary,40,Mirza Ghalib Street,False,True,87.18085295443873,,,,,,,,4,0,78,23,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,856.2127836535466
27553236,secondary,40,Surendra Nath Banerjee Road,True,False,155.22655863810945,,,,,,,,18,0,63,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1283.7127833041075
52155576,secondary,40,Hospital Street,False,False,136.86094823994193,,,,,,,,10,0,61,46,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1072.022141116375
27553223,secondary,40,Mirza Ghalib Street,False,False,31.80809633605631,,,,,,,,6,0,32,29,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,172.34308993045624
27553223,secondary,40,Mirza Ghalib Street,False,True,44.8055888833462,,,,,,,,8,0,55,32,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,355.91688663008495
995139938,residential,,,False,False,105.95324558871566,,,,,,,,18,0,157,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2106.359146891403
27553223,secondary,40,Mirza Ghalib Street,False,False,130.7394124002196,,,,,,,,17,0,52,23,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,921.0139333773703
27553223,secondary,40,Mirza Ghalib Street,False,True,116.35071363975739,,,,,,,,23,0,47,59,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,791.4180249282317
79808866,tertiary,40,Sudder Street,False,True,185.91552388261812,,,,,,,,39,0,191,52,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,4476.383807389607
27553226,secondary,40,Rafi Ahmad Kidwai Road,False,False,181.33159744107246,,,,,,,,23,0,24,42,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,657.4350006302886
27553236,secondary,40,Surendra Nath Banerjee Road,True,False,90.93897428967837,,,,,,,,12,0,186,37,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2109.9579061456207
"[1126518489, 1527718515]",secondary,,,False,True,99.08450781684573,,,,,,,,18,0,115,41,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1477.566207872471
27553226,secondary,40,Rafi Ahmad Kidwai Road,False,False,68.65555156903719,,,,,,,,16,1,125,46,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1127.0332735355578
27553226,secondary,40,Rafi Ahmad Kidwai Road,False,True,43.970914239806454,,,,,,,,16,1,146,33,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,867.5704174814091
111524657,residential,,Collin Street,False,False,54.71584349160447,,,,,,,,20,1,163,45,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1187.4418986957833
111524657,residential,,Collin Street,False,True,183.249195257697,,,,,,,,36,1,99,32,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,2374.20043966144
27553231,tertiary,,Eliot Road,False,False,193.6305239993809,2,,,,,,,34,0,127,42,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,3141.1291857505644
27553231,tertiary,,Eliot Road,False,True,38.23821090217353,2,,,,,,,19,0,42,33,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,307.92058294695454
111507353,residential,,,False,False,59.64856132889008,,,,,,,,19,0,114,44,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,931.1923189792163
27553226,secondary,40,Rafi Ahmad Kidwai Road,False,False,75.62647682683604,,,,,,,,14,0,157,58,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1515.002823417591
27553231,tertiary,,Eliot Road,False,True,29.54750158909323,2,,,,,,,12,0,105,40,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,452.49852002257467
27553226,secondary,40,Rafi Ahmad Kidwai Road,False,True,117.63001129042885,,,,,,,,20,1,74,29,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1161.7545002590082
27553223,secondary,40,Mirza Ghalib Street,False,False,69.24399203668202,,,,,,,,5,0,170,31,5.94,165,302.56,63,overcast clouds,live_openweathermap,36.26,44.11,3.06,81.9,2.36,265.95,3,101,live_openweathermap_air_pollution,1457.7774375483132
