u,v,key,osmid,bridge,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,width,tunnel,ref,junction,building_density,vegetation_score,wind_speed_mps,wind_direction,temperature_k,humidity_pct,openweather_aqi_1to5,AQI,vehicle_count,avg_speed_kmph,carbon_cost
277419852,308897855,0,"[66205284, 66205269]",yes,motorway,4,80,"['DND Noida Flyover', 'DND Flyway']",True,False,443.8001757305294,"LINESTRING (8606072.919684833 3321335.644485321, 8606049.297688887 3321328.7108916026, 8606039.557233442 3321326.6194060873, 8606021.44555229 3321322.7279763366, 8605976.873228176 3321318.6083858176, 8605936.542176662 3321317.7717922064, 8605901.699176043 3321320.5477621187, 8605862.492451385 3321325.5546499523, 8605811.730763584 3321337.520485704, 8605763.718667205 3321353.986203089, 8605712.478305593 3321377.461610527, 8605684.626168996 3321395.068193226, 8605661.404923217 3321412.598744665, 8605660.135881022 3321413.5621017404, 8605643.682860283 3321426.491374468, 8605604.175573 3321456.1273429766)",,,,,,0,0,3.26,159,300.0,65.0,3,79,29,68.0,1560.2246115422422
308897855,277419868,0,395885009,,motorway,4,80,DND Flyway,True,False,277.41151697854275,"LINESTRING (8605604.175573 3321456.1273429766, 8605565.75921673 3321499.998330873, 8605515.17564011 3321555.5946528986, 8605410.10117275 3321705.1329236757)",,,,,,0,0,3.26,159,300.0,65.0,3,79,78,74.0,2612.37179891916
277419868,10209450955,0,1116252913,,motorway_link,,,,True,False,224.4770871812944,"LINESTRING (8605410.10117275 3321705.1329236757, 8605414.910174754 3321722.803319235, 8605370.70520496 3321810.8007166595, 8605389.963476866 3321822.614874158, 8605432.420730656 3321746.444164836, 8605461.285874618 3321741.3357104673)",,,,,,1,0,3.26,159,300.0,65.0,3,79,26,5.0,721.1685120056384
277419868,944889359,0,"[71435173, 176496272, 71435185, 1183845908, 1183845909]",yes,motorway,4,80,DND Flyway,True,False,1294.3879726404236,"LINESTRING (8605410.10117275 3321705.1329236757, 8605366.708835239 3321750.8807893246, 8605356.901588101 3321776.3850707333, 8605307.754032915 3321887.6436323067, 8605241.274033014 3322012.8217155244, 8605190.79064394 3322083.6825387375, 8605143.257221371 3322133.4247798524, 8605091.894408317 3322177.9571730276, 8605019.859565828 3322229.474479531, 8604957.17556056 3322260.7982147294, 8604935.835614175 3322269.8492793967, 8604905.155962514 3322282.855441905, 8604891.085178876 3322288.8261113996, 8604819.796176974 3322308.9185113953, 8604740.848394103 3322320.251398944, 8604643.53289525 3322322.609249243, 8604572.755963003 3322318.1217280664, 8604539.037289243 3322310.6298528565, 8604516.717731338 3322305.6606249223, 8604458.041227741 3322289.70079569, 8604373.238039656 3322253.7880806294, 8604251.499044525 3322194.8042230587)",,,,,,1,0,3.26,159,300.0,65.0,3,79,73,73.0,11359.63864033011
10209450955,315999106,0,176496271,,motorway,4,80,DND Flyway,True,False,320.27987165816194,"LINESTRING (8605461.285874618 3321741.3357104673, 8605530.604521533 3321586.9801846566, 8605566.148834946 3321537.5315269576, 8605581.766959503 3321517.0219862517, 8605599.021480577 3321493.178734144, 8605628.198319115 3321468.853844107, 8605658.432692813 3321439.9783938862)",,,,,,0,0,3.26,159,300.0,65.0,3,79,25,75.0,976.6396149744857
277420361,277420366,0,"[76995114, 76995138, 70711614]",yes,tertiary,,,,False,False,63.12155113856903,"LINESTRING (8607374.879053304 3326694.020315284, 8607377.884679556 3326699.5110919704, 8607380.411631996 3326703.518219109, 8607392.467532849 3326718.012363102, 8607411.258262895 3326755.725109142)",,,,,,0,0,3.26,159,300.0,65.0,3,79,60,5.0,470.27516819769704
277420361,9909215436,0,1081115441,,tertiary,,,,True,False,31.761351459395012,"LINESTRING (8607374.879053304 3326694.020315284, 8607375.246407622 3326688.1617985456, 8607364.125590494 3326659.9217550936)",,,,,,0,0,3.26,159,300.0,65.0,3,79,40,5.0,168.25448700509605
277420366,905114139,0,76995138,,tertiary,,,,False,False,372.2671513278233,"LINESTRING (8607411.258262895 3326755.725109142, 8607420.698155714 3326775.1014371384, 8607447.147666726 3326928.8957000994, 8607448.494632566 3326942.324884388, 8607447.147666726 3326968.955034928, 8607441.359053206 3327032.6393537405, 8607396.909180531 3327168.378512011)",,,,,,0,0,3.26,159,300.0,65.0,3,79,37,5.0,1668.6661518955352
277420366,277420361,0,"[76995138, 76995114, 70711614]",yes,tertiary,,,,False,True,63.12155113856903,"LINESTRING (8607411.258262895 3326755.725109142, 8607392.467532849 3326718.012363102, 8607380.411631996 3326703.518219109, 8607377.884679556 3326699.5110919704, 8607374.879053304 3326694.020315284)",,,,,,0,0,3.26,159,300.0,65.0,3,79,76,5.0,591.4685463837495
277420366,905284108,0,"[1076325216, 706853745, 1076325215]",yes,tertiary,,,,False,True,111.9983051726943,"LINESTRING (8607411.258262895 3326755.725109142, 8607371.205510106 3326767.657779004, 8607310.458463982 3326785.753357208, 8607289.30776073 3326793.564770674)",no,,,,,0,0,3.26,159,300.0,65.0,3,79,33,5.0,459.3132884838694
